source,title,breed,gender,age,price_mad,location,url
avito.ma,Carlos,Cheval,,,15000,,https://www.avito.ma/fr/souani/pièces_et_accessoires_pour_véhicules/Moteur_hors_bord_Yamaha_20HP_56373881.htm
avito.ma,El Mustapha Ouchikh,Cheval,,,1700,,https://www.avito.ma/fr/targa/décoration/Tableau_brodé_vintage_Cheval_au_bord_de_la_rivière_56308610.htm
avito.ma,El Mustapha Ouchikh,Cheval,,,1700,,https://www.avito.ma/fr/targa/arts_et_collections/Tableau_brodé_vintage__Scène_champêtre_aux_chevaux_56308506.htm
avito.ma,hoda,Cheval,,,1500,,https://www.avito.ma/fr/oulfa/arts_et_collections/Tableaux_Artistique__56280782.htm
avito.ma,kyknos stude,Cheval,,,60000,,https://www.avito.ma/fr/azemmour/animaux_domestique/CHEVAUX_PUR_SANG_ARABE_ET_PUR_SANG_ANGLAIS__56280366.htm
avito.ma,Amina,Cheval,,,5000,,https://www.avito.ma/fr/souani/arts_et_collections/Tableau_Peinture_Chevalerie_Fantasia_56259904.htm
avito.ma,Puzzle,Cheval,,,1500,,https://www.avito.ma/fr/mimosas/arts_et_collections/Théière_metal_argenté_antiquité_marocain__56240840.htm
avito.ma,Hamza,Cheval,,,50000,,https://www.avito.ma/fr/autre_secteur/véhicules_frigorifiques/Chambre_froide_egatif_neuf_a_vendre_56228690.htm
avito.ma,khalid,Cheval,,,20000,,https://www.avito.ma/fr/route_de_ouarzazate/matériel_agricole/pompe_eau__pour_puits_56212201.htm
avito.ma,Mustapha,Cheval,,,3000,,https://www.avito.ma/fr/centre_ville/equipement_sportif/selle_d_obstacle_Victoria__56180528.htm
avito.ma,M faiza,Cheval,,,1100,,https://www.avito.ma/fr/bourgogne/arts_et_collections/tête_de_cheval__56129210.htm
avito.ma,Amine Hamza,Cheval,,,30000,,https://www.avito.ma/fr/jbel_kbir/animaux_de_ferme/Cheval___prix_négociable_55407041.htm
avito.ma,bojaman,Cheval,,,2800,,https://www.avito.ma/fr/bir_rami_ouest/animaux_de_ferme/selle_cheval_western__55413751.htm
avito.ma,Hamza,Cheval,,,50000,,https://www.avito.ma/fr/autre_secteur/véhicules_frigorifiques/Chambre_froide_egatif_neuf_a_vendre_56228690.htm
avito.ma,khalid,Cheval,,,20000,,https://www.avito.ma/fr/route_de_ouarzazate/matériel_agricole/pompe_eau__pour_puits_56212201.htm
avito.ma,Mustapha,Cheval,,,3000,,https://www.avito.ma/fr/centre_ville/equipement_sportif/selle_d_obstacle_Victoria__56180528.htm
avito.ma,M faiza,Cheval,,,1100,,https://www.avito.ma/fr/bourgogne/arts_et_collections/tête_de_cheval__56129210.htm
animalsouk.ma,Double ponette 140cm gentille et calme,Cheval,,,6000,,
animalsouk.ma,Jument 9 ans arabe barbe pedigree,Cheval,,,14000,,
animalsouk.ma,Jument 7 ans pur sang arabe pedigree,Cheval,,,15000,,
animalsouk.ma,Cheval barb,Cheval,,,40000,,
animalsouk.ma,Poulain 19 mois,Cheval,,,25000,,
animalsouk.ma,Ânes a vendre sur kenitra,Cheval,,,1200,,
animalsouk.ma,A vendre chiots Spitz nain (Loulou de Poméranie),Cheval,,,1000000,,
animalsouk.ma,Jument 4 ans,Cheval,,,33000,,
animalsouk.ma,Superbe Jument Pur-Sang Arabe,Cheval,,,25000,,
animalsouk.ma,Cheval arabe barbe (étalon) de saut d’obstacle à vendre,Cheval,,,110000,,
animalsouk.ma,Pur sang arabe,Cheval,,,12000,,
animalsouk.ma,Double poney,Cheval,,,9000,,
animalsouk.ma,Jument pur sang arabe,Cheval,,,60000,,
animalsouk.ma,Hongre frison de sept ans,Cheval,,,17000,,
animalsouk.ma,بيع الخيل,Cheval,,,20000,,
animalsouk.ma,Jument arabe barbre,Cheval,,,45000,,
animalsouk.ma,Kénitra,Cheval,,,3000,,
animalsouk.ma,Selle pour cheval,Cheval,,,2300,,
animalsouk.ma,cheval selle français,Cheval,,,180000,,
animalsouk.ma,Jument + poulain à vendre,Cheval,,,4000,,
animalsouk.ma,cheval frison pour débutants et novices,Cheval,,,15000,,
animalsouk.ma,Molina green cheek,Cheval,,,100000,,
animalsouk.ma,Pur sang arabe,Cheval,,,45000,,
animalsouk.ma,Étalon barbe- arabe,Cheval,,,7000,,
animalsouk.ma,Arabe barbe التبوريدة,Cheval,,,55000,,
animalsouk.ma,Pur sang arabe,Cheval,,,78000,,
animalsouk.ma,cheval de promonade,Cheval,,,3650,,
animalsouk.ma,Cheval frison noir guapo pour votre famille,Cheval,,,15000,,
animalsouk.ma,jeune cheval de la famille frisonne de sept ans,Cheval,,,30000,,
