source,title,breed,gender,age,price_mad,location,url,description,full_text,breed_clean,gender_clean,age_clean,height_cm
ehorses.com,"KWPN, Gelding, 9 years, 16,1 hh, Brown",KWPN,Gelding,9 years,213465,"Neuss, DE",https://www.ehorses.com/kwpn-gelding-9years-161-hh-brown-dressagehorses-neuss/4749057.html,,"KWPN, Gelding, 9 years, 16,1 hh, Brown ",KWPN,Gelding,9.0,
ehorses.com,"Arabian horses, Mare, 2 years, Grey",Arabian horses,Mare,2 years,74900,"Reichraming, AT",https://www.ehorses.com/arabian-horses-mare-2years-grey-breedinghorses-showhorses-westernhorses-leisurehorses-reichraming/4354792.html,,"Arabian horses, Mare, 2 years, Grey ",Arabian,Mare,2.0,
ehorses.com,"Andalusian, Mare, 7 years, Grey",Andalusian,Mare,7 years,85839,"Corona, CA, US",https://www.ehorses.com/andalusian-mare-7years-grey-dressagehorses-showhorses-breedinghorses-eventinghorses-corona-ca/4687612.html,,"Andalusian, Mare, 7 years, Grey ",Andalusian,Mare,7.0,
ehorses.com,"PRE, Stallion, 5 years, 15,3 hh, Black",PRE,Stallion,5 years,133750,"Provinz Malaga, ES",https://www.ehorses.com/pre-stallion-5years-153-hh-black-dressagehorses-working-equitation-horses-breedinghorses-leisurehorses-provinz-malaga/4525270.html,,"PRE, Stallion, 5 years, 15,3 hh, Black ",Andalusian,Stallion,5.0,
ehorses.com,"Welsh A (Mountain Pony), Gelding, 5 years, 11 hh, Leopard-Piebald",Welsh A (Mountain Pony),Gelding,5 years,39590,"Poznań, PL",https://www.ehorses.com/welsh-a-mountain-pony-gelding-5years-11-hh-leopard-piebald-showjumpers-reininghorses-leisurehorses-dressagehorses-poznan/4616687.html,,"Welsh A (Mountain Pony), Gelding, 5 years, 11 hh, Leopard-Piebald ",Welsh,Gelding,5.0,
ehorses.com,"Hanoverian, Mare, 8 years, 15,3 hh, Chestnut",Hanoverian,Mare,8 years,160500,"Götzendorf an der Leitha, AT",https://www.ehorses.com/hanoverian-mare-8years-153-hh-chestnut-dressagehorses-breedinghorses-showjumpers-leisurehorses-goetzendorf-an-der-leitha/4688363.html,,"Hanoverian, Mare, 8 years, 15,3 hh, Chestnut ",Hanoverian,Mare,8.0,
ehorses.com,"Hanoverian, Gelding, 4 years, 16,1 hh, Chestnut-Red",Hanoverian,Gelding,4 years,133750,"Mijas, ES",https://www.ehorses.com/hanoverian-gelding-4years-161-hh-chestnut-red-dressagehorses-leisurehorses-mijas/4744020.html,,"Hanoverian, Gelding, 4 years, 16,1 hh, Chestnut-Red ",Hanoverian,Gelding,4.0,
ehorses.com,"KWPN, Gelding, 5 years, 16,2 hh, Brown",KWPN,Gelding,5 years,160500,"Jesteburg, DE",https://www.ehorses.com/kwpn-gelding-5years-162-hh-brown-dressagehorses-showjumpers-showhunter-leisurehorses-jesteburg/4656916.html,,"KWPN, Gelding, 5 years, 16,2 hh, Brown ",KWPN,Gelding,5.0,
ehorses.com,"Hanoverian, Gelding, 5 years, 16,3 hh, Black",Hanoverian,Gelding,5 years,187250,"Puebla De Guzman, ES",https://www.ehorses.com/hanoverian-gelding-5years-163-hh-black-dressagehorses-eventinghorses-showjumpers-leisurehorses-puebla-de-guzman/4743807.html,,"Hanoverian, Gelding, 5 years, 16,3 hh, Black ",Hanoverian,Gelding,5.0,
ehorses.com,"Westphalian, Gelding, 5 years, 16,3 hh, Black",Westphalian,Gelding,5 years,321000,"Rees, DE",https://www.ehorses.com/westphalian-gelding-5years-163-hh-black-dressagehorses-rees/4748991.html,,"Westphalian, Gelding, 5 years, 16,3 hh, Black ",Westphalian,Gelding,5.0,
