source,id,title,price,currency,location,type,age,gender,url
avito.ma,https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Land_Rover_Discovery_Sport_2016_Diesel_54539719,Land Rover Discovery Sport 2016 Diesel,200000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Land_Rover_Discovery_Sport_2016_Diesel_54539719.htm
avito.ma,https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Land_rover_Freelander_2013_automatique_56748852,Land rover Freelander 2013 automatique,140000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Land_rover_Freelander_2013_automatique_56748852.htm
avito.ma,https://www.avito.ma/fr/fquih_ben_saleh/voitures_d_occasion/Ford_Fiesta_57522408,Ford Fiesta,80000,MAD,,Cheval,,,https://www.avito.ma/fr/fquih_ben_saleh/voitures_d_occasion/Ford_Fiesta_57522408.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Ferme_titrée_de_2_hectares_près_de_Benslimane__équipée__maison_R2_57522423,"Ferme titrée de 2 hectares près de Benslimane, équipée, maison R2",1950000,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Ferme_titrée_de_2_hectares_près_de_Benslimane__équipée__maison_R2_57522423.htm
avito.ma,https://www.avito.ma/fr/souk_sebt_ouled_nemma/voitures_d_occasion/volkswagen_caddy_57522354,volkswagen caddy,116000,MAD,,Cheval,,,https://www.avito.ma/fr/souk_sebt_ouled_nemma/voitures_d_occasion/volkswagen_caddy_57522354.htm
avito.ma,https://www.avito.ma/fr/khemisset/voitures_d_occasion/Golf_6_GTD_57520817,Golf 6 GTD,150000,MAD,,Cheval,,,https://www.avito.ma/fr/khemisset/voitures_d_occasion/Golf_6_GTD_57520817.htm
avito.ma,https://www.avito.ma/fr/hay_moulay_rachid/voitures_d_occasion/Volkswagen_Tiguan_56506997,Volkswagen Tiguan,299000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_moulay_rachid/voitures_d_occasion/Volkswagen_Tiguan_56506997.htm
avito.ma,https://www.avito.ma/fr/allal_el_fassi/voitures_d_occasion/GWM_POER_2_0L_170_CH_À_SAISIR_57423308,GWM POER 2.0L 170 CH À SAISIR,255000,MAD,,Cheval,,,https://www.avito.ma/fr/allal_el_fassi/voitures_d_occasion/GWM_POER_2_0L_170_CH_À_SAISIR_57423308.htm
avito.ma,https://www.avito.ma/fr/hay_moulay_rachid_6/voitures_d_occasion/Peugeot_308_modèle_2011_lire_en_bas___57519314,Peugeot 308 modèle 2011 lire en bas👇,79000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_moulay_rachid_6/voitures_d_occasion/Peugeot_308_modèle_2011_lire_en_bas___57519314.htm
avito.ma,https://www.avito.ma/fr/deroua/voitures_d_occasion/Fiat_Tipo_2020_57518506,Fiat Tipo 2020,115000,MAD,,Cheval,,,https://www.avito.ma/fr/deroua/voitures_d_occasion/Fiat_Tipo_2020_57518506.htm
avito.ma,https://www.avito.ma/fr/oulfa/voitures_d_occasion/Casablanca_Hay_Al_Alfa_57518038,Casablanca Hay Al Alfa,85000,MAD,,Cheval,,,https://www.avito.ma/fr/oulfa/voitures_d_occasion/Casablanca_Hay_Al_Alfa_57518038.htm
avito.ma,https://www.avito.ma/fr/taza/voitures_d_occasion/Renault_Fluence_57517810,Renault Fluence,123000,MAD,,Cheval,,,https://www.avito.ma/fr/taza/voitures_d_occasion/Renault_Fluence_57517810.htm
avito.ma,https://www.avito.ma/fr/al_wifaq/voitures_d_occasion/Hyundai_ix35_diesel_automatique_4x4_57517473,Hyundai ix35 diesel automatique 4x4,125000,MAD,,Cheval,,,https://www.avito.ma/fr/al_wifaq/voitures_d_occasion/Hyundai_ix35_diesel_automatique_4x4_57517473.htm
avito.ma,https://www.avito.ma/fr/centre/voitures_d_occasion/Honda_Civic_Diesel_6ch_6ème_57517321,Honda Civic Diesel 6ch 6ème,109000,MAD,,Cheval,,,https://www.avito.ma/fr/centre/voitures_d_occasion/Honda_Civic_Diesel_6ch_6ème_57517321.htm
avito.ma,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_306_57521943,Peugeot 306,550000,MAD,,Cheval,,,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_306_57521943.htm
avito.ma,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_306_57521952,Peugeot 306,55000,MAD,,Cheval,,,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_306_57521952.htm
avito.ma,https://www.avito.ma/fr/sbata/voitures_d_occasion/Peugeot_205_essence_57517138,Peugeot 205 essence,14000,MAD,,Cheval,,,https://www.avito.ma/fr/sbata/voitures_d_occasion/Peugeot_205_essence_57517138.htm
avito.ma,https://www.avito.ma/fr/deroua/jouets/Cheval_pour_enfants_cheval_enfant_57460242,Cheval pour enfants cheval enfant,150,MAD,,Cheval,,,https://www.avito.ma/fr/deroua/jouets/Cheval_pour_enfants_cheval_enfant_57460242.htm
